id;email;adress;nit;name;phone
1;Ana_Girn@hotmail.com;Guinea metrics La;Guapa Ejecutivo;connecting Fantástico models;986 332 814
2;Alejandro.Carrasco23@hotmail.com;medición;Avon;compuesto firewall uniforme;975 259 456
3;Antonio71@gmail.com;Bahraini;grupo;Funcionalidad Cambridgeshire Heredado;946964551
4;Blanca_Reyes@gmail.com;parsing Arrabal Islandia;reinvent Corporativo;connect;951075374
5;Lourdes_Cervntez46@yahoo.com;Acero;Bedfordshire Agente Acero;Riel;977-618-630
6;Roco20@hotmail.com;Malasia Patatas;Card capacitor;compressing Bicicleta;913217643
7;MaraLuisa.Lugo@hotmail.com;distributed;Cantabria scalable;reboot toda Regional;996 045 748
8;Lourdes_Rincn27@hotmail.com;Azul;overriding Atún;concepto;926.821.376
9;Pedro.Urrutia9@hotmail.com;Supervisor de Borders;Account e-business array;Fantástico leading-edge Pantalones;919.110.081
10;Rosalia_Sisneros@yahoo.com;Blanco payment;models red Buckinghamshire;Descentralizado Metal CSS;932.622.583
